id,name,slug,products
b-1,McCain,mccain,"French Fries (6mm, 9mm, 11mm)|Smiles|Cheese Shots|Aloo Tikki|Potato Cheese Shots"
b-2,Food Coast,food-coast,"Frozen Parotas|Ready-to-Cook Snacks|Frozen Vegetables"
b-3,VKL (Food Services India),vkl,"Frozen Seafood Range|Prawns|Fish Fillets"
b-4,Morton India,morton-india,"Frozen Chicken Products|Chicken Nuggets|Chicken Popcorn"
b-5,Golden Crown,golden-crown,"Canned Vegetables|Sweet Corn|Baby Corn|Mushrooms|Green Peas"
b-6,Signature India,signature-india,"Frozen Snacks|Samosa Range|Spring Rolls"
b-7,Empire Foods,empire-foods,"Chicken Sausages|Chicken Salami|Ready-to-Eat Chicken"
b-8,Snacker Street,snacker-street,"Veg Fingers|Nuggets|Burger Patty|Corn Rolls"
b-9,Falcon Foods,falcon-foods,"Frozen Chicken|Chicken Wings|Drumsticks|Breast Strips"
b-10,Milk Misty,milk-misty,"Paneer|Fresh Milk|Curd|Buttermilk"
b-11,Hyfun Foods,hyfun-foods,"Veg Nuggets|Onion Rings|Veg Cutlets|Aloo Tikki|Hara Bhara Kebab"
b-12,Rich's (General Bakery),richs,"Whipping Cream|Cake Mixes|Frozen Doughs|Bakery Ingredients"
b-13,Meatzz,meatzz,"Chicken Seekh Kebab|Chicken Tikka|Chicken Sausage|Chicken Salami"
b-14,WOW,wow,"Momos|Veg Momos|Chicken Momos|Spring Rolls"
b-15,Tanvi Foods,tanvi-foods,"Frozen Parotas|Chapati|Poori|Malabar Parota"
b-16,Nutrilight Butter,nutrilight-butter,"Salted Butter|Unsalted Butter|Cooking Butter|Table Butter"
b-17,Go Cheese,go-cheese,"Cheese Slices|Cheese Block|Mozzarella|Cheese Spread"
b-18,CP Foods,cp-foods,"Chicken Sausages|Chicken Nuggets|Chicken Franks|Ready-to-Eat Chicken"
b-19,ITC Master Chef,itc-master-chef,"Frozen Parotas|Aloo Paratha|Chicken Nuggets|Prawns"
b-20,Corn Hub,corn-hub,"Sweet Corn Kernels|Baby Corn|Corn on the Cob|Corn Flour"
b-21,SAIVAI Veg Chickens,saivai,"Veg Chicken|Veg Mutton|Veg Prawn|Veg Fish|Veg Keema"
b-22,Yummis,yummis,"Frozen Snacks|Samosa|Spring Rolls|Veg Rolls|Cutlets"
b-23,Heritage Milk Products,heritage,"Full Cream Milk|Toned Milk|Curd|Paneer|Buttermilk|Ghee"
